transaction_id,project_name,district,price,area_sqft,psf,sale_date,sale_type,tenure
TXN01258,The Botanica,D23,950000,642.6,1478.36,2022-05-03,New Sale,Freehold
TXN01634,The Botanica,D23,1060000,807.0,1313.51,2025-09-24,Resale,Freehold
TXN00209,The Botanica,D23,1690000,1131.29,1493.88,2024-02-19,New Sale,Freehold
TXN00991,Skyline Residences,D19,1580000,827.0,1910.52,2022-06-26,Resale,99 yrs
TXN00940,Harbourfront Suites,D04,2370000,1838.47,1289.11,2022-12-05,Sub Sale,99 yrs
TXN01653,Harbourfront Suites,D04,2950000,1288.44,2289.59,2023-08-17,New Sale,99 yrs
TXN01617,Skyline Residences,D19,1570000,1176.0,1335.03,2024-11-21,Sub Sale,Freehold
TXN01687,The Botanica,D23,1280000,1087.15,1177.39,2024-05-17,Resale,99 yrs
TXN01204,Skyline Residences,D19,3240000,2149.55,1507.29,2025-07-21,Resale,99 yrs
TXN01575,Harbourfront Suites,D04,1740000,934.31,1862.34,2021-12-21,New Sale,99 yrs
TXN00191,The Botanica,D23,2960000,1693.16,1748.21,2025-03-29,Sub Sale,99 yrs
TXN01387,Orchard Grand,D09,590000,512.36,1151.53,2025-08-06,Resale,Freehold
TXN01556,Marina Heights,D01,1030000,668.44,1540.91,2025-10-18,New Sale,99 yrs
TXN01566,Skyline Residences,D19,2620000,1273.0,2058.13,2022-11-25,Resale,99 yrs
TXN01292,Cedar Park,D16,920000,736.25,1249.57,2023-11-01,New Sale,99 yrs
TXN00087,Rivervale Gardens,D19,2140000,951.53,2249.01,2025-04-15,Sub Sale,99 yrs
TXN01391,Emerald Vista,D21,1630000,835.28,1951.44,2025-05-12,New Sale,99 yrs
TXN01737,Parkview Residences,D14,5020000,2124.79,2362.58,2023-09-23,Resale,99 yrs
TXN01280,Lakeside Grandeur,D22,990000,537.12,1843.17,2022-03-17,Resale,99 yrs
TXN01108,The Seaview Residences,D15,1150000,831.0,1383.87,2022-01-27,Resale,Freehold
TXN01395,Marina Heights,D01,2030000,867.57,2339.87,2025-09-19,Sub Sale,99 yrs
TXN00492,The Seaview Residences,D15,1610000,762.08,2112.63,2022-02-01,New Sale,Freehold
TXN01199,Orchard Grand,D09,2850000,1889.06,1508.68,2024-07-01,New Sale,Freehold
TXN00962,Harbourfront Suites,D04,1200000,686.74,1747.39,2021-09-07,Sub Sale,99 yrs
TXN00843,The Botanica,D23,2160000,1036.0,2084.94,2025-07-18,Sub Sale,99 yrs
TXN01468,Marina Heights,D01,1480000,1275.52,1160.31,2021-04-29,New Sale,Freehold
TXN01608,The Arcadia,D10,2150000,932.15,2306.49,2025-10-02,Sub Sale,Freehold
TXN00486,Marina Heights,D01,2420000,1683.0,1437.91,2022-08-05,Resale,Freehold
TXN00008,The Seaview Residences,D15,1450000,690.0,2101.45,2023-12-17,Resale,99 yrs
TXN01661,Emerald Vista,D21,840000,633.99,1324.93,2021-05-15,Resale,Freehold
TXN01538,Cedar Park,D16,2270000,1636.11,1387.43,2021-09-05,Sub Sale,99 yrs
TXN00299,Emerald Vista,D21,1800000,812.67,2214.91,2025-06-26,New Sale,99 yrs
TXN01380,Skyline Residences,D19,800000,627.54,1274.83,2024-08-11,New Sale,99 yrs
TXN00826,Orchard Grand,D09,1670000,780.38,2139.98,2025-03-17,Resale,Freehold
TXN00807,Skyline Residences,D19,2400000,1135.59,2113.44,2023-06-03,New Sale,99 yrs
TXN01409,Harbourfront Suites,D04,1200000,691.04,1736.51,2024-11-18,Sub Sale,Freehold
TXN00244,Orchard Grand,D09,1870000,1340.11,1395.41,2022-01-13,Sub Sale,Freehold
TXN00333,Cedar Park,D16,850000,452.08,1880.18,2024-03-04,Resale,Freehold
TXN00181,Marina Heights,D01,3170000,1323.96,2394.33,2023-10-19,Sub Sale,Freehold
TXN00974,Orchard Grand,D09,2150000,1459.0,1473.61,2022-08-17,Sub Sale,Freehold
TXN01240,The Arcadia,D10,2300000,1209.0,1902.4,2022-08-31,Resale,99 yrs
TXN01478,Parkview Residences,D14,2870000,2044.06,1404.07,2024-11-15,Sub Sale,99 yrs
TXN00212,The Botanica,D23,1780000,753.47,2362.39,2024-11-06,New Sale,Freehold
TXN00545,The Botanica,D23,3230000,2051.6,1574.38,2022-10-25,Resale,Freehold
TXN01053,Harbourfront Suites,D04,1070000,646.91,1654.02,2021-07-30,Sub Sale,99 yrs
TXN00770,Emerald Vista,D21,4260000,1827.71,2330.79,2021-05-18,Resale,99 yrs
TXN01665,Skyline Residences,D19,1600000,673.82,2374.52,2022-11-29,Resale,99 yrs
TXN01236,The Arcadia,D10,3210000,1856.0,1729.53,2022-12-26,New Sale,99 yrs
TXN00881,The Botanica,D23,2010000,1341.18,1498.68,2022-06-12,Sub Sale,99 yrs
TXN01474,The Botanica,D23,2570000,1350.0,1903.7,2023-07-26,Resale,99 yrs
TXN00509,The Seaview Residences,D15,1140000,930.0,1225.81,2022-10-12,Sub Sale,Freehold
TXN01193,Cedar Park,D16,1790000,771.77,2319.34,2021-07-13,New Sale,Freehold
TXN00433,Lakeside Grandeur,D22,2230000,1304.0,1710.12,2024-09-06,Resale,Freehold
TXN01492,The Seaview Residences,D15,1160000,740.56,1566.39,2021-12-18,Resale,99 yrs
TXN01374,Marina Heights,D01,2020000,1291.67,1563.87,2024-07-16,New Sale,99 yrs
TXN00092,Emerald Vista,D21,1590000,1180.0,1347.46,2021-03-28,New Sale,Freehold
TXN01160,Skyline Residences,D19,2600000,1257.0,2068.42,2025-11-18,Resale,99 yrs
TXN00738,Marina Heights,D01,740000,541.0,1367.84,2021-08-30,New Sale,Freehold
TXN00267,Rivervale Gardens,D19,1950000,908.47,2146.46,2021-01-02,Resale,99 yrs
TXN00564,Cedar Park,D16,1190000,1014.0,1173.57,2025-01-28,New Sale,Freehold
TXN01291,Skyline Residences,D19,920000,549.0,1675.77,2022-03-15,Resale,Freehold
TXN00708,Orchard Grand,D09,1440000,1302.43,1105.62,2024-09-26,Resale,Freehold
TXN00180,Skyline Residences,D19,1980000,824.0,2402.91,2021-10-15,Resale,99 yrs
TXN00210,The Arcadia,D10,3260000,2038.0,1599.61,2021-08-27,New Sale,99 yrs
TXN00912,Skyline Residences,D19,1090000,940.0,1159.57,2022-11-14,Sub Sale,Freehold
TXN00013,The Arcadia,D10,3040000,1388.0,2190.2,2024-10-14,Resale,99 yrs
TXN01518,Skyline Residences,D19,1220000,996.74,1223.99,2024-04-04,Resale,99 yrs
TXN00842,Harbourfront Suites,D04,1060000,457.47,2317.11,2025-11-26,Sub Sale,99 yrs
TXN00692,Emerald Vista,D21,1350000,723.33,1866.36,2022-05-25,Resale,99 yrs
TXN00979,The Seaview Residences,D15,1710000,741.63,2305.72,2025-06-22,New Sale,99 yrs
TXN01431,Lakeside Grandeur,D22,4880000,2140.0,2280.37,2025-08-12,Resale,Freehold
TXN01602,Rivervale Gardens,D19,3470000,1675.94,2070.48,2023-10-01,New Sale,Freehold
TXN00736,Emerald Vista,D21,1110000,824.0,1347.09,2023-09-02,Sub Sale,99 yrs
TXN00005,Lakeside Grandeur,D22,3380000,1501.56,2250.99,2023-12-01,Sub Sale,99 yrs
TXN00411,Lakeside Grandeur,D22,1510000,1267.99,1190.86,2025-02-22,New Sale,Freehold
TXN01009,Rivervale Gardens,D19,1100000,612.47,1796.02,2022-06-11,Resale,Freehold
